id,brand,base_model,model_mode,year,condition,mileage_km,has_aftermarket_mods,body_type,seats,doors,drivetrain,origin,exterior_color,city,seller_name,post_date,website,price_vnd
2478,VinFast,VF9,VF9,2026.0,New,0.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Xám,Hà Nội,Vinfast Sơn Đồng,2026-05-19,bonbanh.com,250000000.0
2479,VinFast,VF7,VF7 ECO,2026.0,New,0.0,False,SUV,7.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Trắng,Hà Nội,Vinfast Sơn Đồng,2026-05-19,bonbanh.com,615000000.0
2480,VinFast,VF8,VF8 LUX,2026.0,New,0.0,False,SUV,7.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Đỏ,Hà Nội,Vinfast Sơn Đồng,2026-05-19,bonbanh.com,615000000.0
2481,VinFast,VF8,VF8 Eco 2023,2023.0,New,46000.0,False,SUV,7.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Bạc,Hà Nội,Vinfast Sơn Đồng,2026-05-19,bonbanh.com,615000000.0
2482,VinFast,VF6,VF6,2026.0,New,0.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Trắng,Hà Nội,Vinfast Sơn Đồng,2026-05-19,bonbanh.com,670000000.0
2483,VinFast,VF8,VF8,2026.0,New,0.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Xám,Hà Nội,Vinfast Sơn Đồng,2026-05-19,bonbanh.com,610000000.0
2484,VinFast,VF8,VF8 2023 Plus,2023.0,New,57000.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Trắng,Hà Nội,Vinfast Sơn Đồng,2026-05-19,bonbanh.com,610000000.0
2485,VinFast,VF6,VF6 PLUS 2025,2025.0,New,23000.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Đỏ,Hà Nội,Vinfast Sơn Đồng,2026-05-19,bonbanh.com,610000000.0
2486,VinFast,VF9,VF9 PLUS,2023.0,Used,50000.0,False,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Lắp ráp trong nước,Đỏ,Hà Nội,GF Vincom Long Biên,2026-05-19,bonbanh.com,619000000.0
2487,VinFast,VF8,VF8 LUX PLUS,2023.0,Used,40000.0,False,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Lắp ráp trong nước,Đỏ,Hà Nội,GF Vincom Long Biên,2026-05-19,bonbanh.com,619000000.0
